id,kind,label,organism
M4-FUNG-0001,BGC,BGC0000003,Alternaria alternata
NCBITAXON:5599,ORGANISM,Alternaria alternata,
M4-FUNG-0002,BGC,BGC0000004,Aspergillus oryzae
NCBITAXON:5062,ORGANISM,Aspergillus oryzae,
M4-FUNG-0003,BGC,BGC0000005,Aspergillus parasiticus
NCBITAXON:5067,ORGANISM,Aspergillus parasiticus,
M4-FUNG-0004,BGC,BGC0000006,Aspergillus flavus
NCBITAXON:5059,ORGANISM,Aspergillus flavus,
M4-FUNG-0005,BGC,BGC0000007,Aspergillus aflatoxiformans
NCBITAXON:2059437,ORGANISM,Aspergillus aflatoxiformans,
M4-FUNG-0006,BGC,BGC0000008,Aspergillus flavus
M4-FUNG-0007,BGC,BGC0000009,Aspergillus nomiae (MIBiG historical label: Aspergillus nomius)
NCBITAXON:41061,ORGANISM,Aspergillus nomiae (MIBiG historical label: Aspergillus nomius),
M4-FUNG-0008,BGC,BGC0000010,Aspergillus flavus
M4-FUNG-0009,BGC,BGC0000011,Aspergillus ochraceoroseus
NCBITAXON:138278,ORGANISM,Aspergillus ochraceoroseus,
M4-FUNG-0010,BGC,BGC0000012,Alternaria solani
NCBITAXON:48100,ORGANISM,Alternaria solani,
M4-FUNG-0011,BGC,BGC0000013,Aspergillus nidulans
NCBITAXON:227321,ORGANISM,Aspergillus nidulans,
M4-FUNG-0012,BGC,BGC0000022,Aspergillus nidulans
M4-FUNG-0013,BGC,BGC0000027,Monascus pilosus
NCBITAXON:89488,ORGANISM,Monascus pilosus,
M4-FUNG-0014,BGC,BGC0000030,Fusarium fujikuroi
NCBITAXON:1279085,ORGANISM,Fusarium fujikuroi,
M4-FUNG-0015,BGC,BGC0000037,Aspergillus nidulans
M4-FUNG-0016,BGC,BGC0000039,Penicillium citrinum
NCBITAXON:5077,ORGANISM,Penicillium citrinum,
M4-FUNG-0017,BGC,BGC0000045,Aspergillus terreus
NCBITAXON:33178,ORGANISM,Aspergillus terreus,
M4-FUNG-0018,BGC,BGC0000046,Alternaria brassicicola
NCBITAXON:622360,ORGANISM,Alternaria brassicicola,
M4-FUNG-0019,BGC,BGC0000048,Dothistroma septosporum
NCBITAXON:675120,ORGANISM,Dothistroma septosporum,
M4-FUNG-0020,BGC,BGC0000057,Aspergillus nidulans
M4-FUNG-0021,BGC,BGC0000062,Fusarium verticillioides
NCBITAXON:334819,ORGANISM,Fusarium verticillioides,
M4-FUNG-0022,BGC,BGC0000063,Fusarium oxysporum
NCBITAXON:5507,ORGANISM,Fusarium oxysporum,
M4-FUNG-0023,BGC,BGC0000064,Fusarium verticillioides
NCBITAXON:117187,ORGANISM,Fusarium verticillioides,
M4-FUNG-0024,BGC,BGC0000070,Penicillium aethiopicum
NCBITAXON:36650,ORGANISM,Penicillium aethiopicum,
M4-FUNG-0025,BGC,BGC0000076,Hypomyces subiculosus
NCBITAXON:193393,ORGANISM,Hypomyces subiculosus,
M4-FUNG-0026,BGC,BGC0000077,Hypomyces subiculosus
M4-FUNG-0027,BGC,BGC0000088,Aspergillus terreus
NCBITAXON:285217,ORGANISM,Aspergillus terreus,
M4-FUNG-0028,BGC,BGC0000089,Aspergillus terreus
M4-FUNG-0029,BGC,BGC0000098,Monascus pilosus
M4-FUNG-0030,BGC,BGC0000099,Talaromyces marneffei
