experiment_key,dossier_id,experiment_id,organism_key,strain_key,strain_raw,source_ids,note,source_row
M4-FUNG-0001:E001,M4-FUNG-0001,E001,NCBITAXON:5599,STR_0300b4073198,NAF8,S002,Keep gene-level causal evidence distinct from chromosome-level evidence,128
M4-FUNG-0001:E002,M4-FUNG-0001,E002,NCBITAXON:5599,STR_1f13d74e5d62,YM-19,S004,Different strain from NAF8 genetic study,129
M4-FUNG-0002:E001,M4-FUNG-0002,E001,NCBITAXON:5062,STR_2a36239590e1,A. oryzae RIB40 + nine group-1 RIB strains,S002,A. parasiticus NFRI-95 served as pathway-positive control.,141
M4-FUNG-0002:E002,M4-FUNG-0002,E002,NCBITAXON:5062,STR_f3f771dbeaac,210 A. oryzae RIB strains,S002,Shows widespread retention or degeneration of AF-homologous loci across A. oryzae RIB strains.,142
M4-FUNG-0002:E003,M4-FUNG-0002,E003,NCBITAXON:5062,STR_be1437168091,A. oryzae RIB67 recipient; RIB40 and A. flavus regulator alleles,S003,"Diagnostic regulatory experiment, not complete aflatoxin-pathway rescue in intact RIB40.",143
M4-FUNG-0002:E004,M4-FUNG-0002,E004,NCBITAXON:5062,STR_4e253b51e9ad,RIB40-type A. flavus clinical isolates,S004,"Evidence is from related A. flavus isolates, not direct RIB40 metabolite production.",144
M4-FUNG-0002:E005,M4-FUNG-0002,E005,NCBITAXON:5062,STR_54c7c8abbe21,A. oryzae RIB62 and group-2 strains,S005,Population context; not the RIB40 group-1 genotype.,145
M4-FUNG-0003:E001,M4-FUNG-0003,E001,NCBITAXON:5067,STR_922f99f32451,SU-1 / SRRC 143 / ATCC 56775 / NRRL 5862,S002; S003; S004,Defines the sequence-level reference architecture.,147
M4-FUNG-0003:E002,M4-FUNG-0003,E002,NCBITAXON:5067,STR_c8ccd7a4803f,A. parasiticus pksA-disruption background,S005,Keep exact strain details linked to source if later extracting full methods.,148
M4-FUNG-0003:E003,M4-FUNG-0003,E003,NCBITAXON:5067,STR_00925fe1e0bf,"SU1-N3 (pHSP), derivative of SU-1",S006,Strong example of regulatory bypass of an environmental inhibitory condition.,149
M4-FUNG-0003:E004,M4-FUNG-0003,E004,NCBITAXON:5067,STR_46777a22f41e,A. parasiticus OMST-accumulating aflR-disruption strain,S007,Strong causal regulator evidence.,150
M4-FUNG-0003:E005,M4-FUNG-0003,E005,NCBITAXON:5067,STR_1a61b6d61788,A. parasiticus NR-1 / reporter transformants,S008,Demonstrates both temporal gating and chromosomal-position dependence.,151
