organism_key,organism_name,ncbi_taxon_id,phylum,class,order,family,genus,ecological_lifestyle_raw,first_dossier_id
NCBITAXON:5599,Alternaria alternata,5599,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Plant-pathogenic fungus,M4-FUNG-0001
NCBITAXON:5062,Aspergillus oryzae,5062,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,domesticated saprotrophic food-fermentation fungus,M4-FUNG-0002
NCBITAXON:5067,Aspergillus parasiticus,5067,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus; food/feed-associated mycotoxin producer,M4-FUNG-0003
NCBITAXON:5059,Aspergillus flavus,5059,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,soil saprotroph and opportunistic crop-associated plant pathogen / seed colonizer,M4-FUNG-0004
NCBITAXON:2059437,Aspergillus aflatoxiformans,2059437,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,soil-associated saprotrophic crop-colonizing aflatoxigenic fungus,M4-FUNG-0005
NCBITAXON:41061,Aspergillus nomiae (MIBiG historical label: Aspergillus nomius),41061,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,"saprotrophic, agricultural-commodity-associated and environmentally widespread fungus; also opportunistic pathogen",M4-FUNG-0007
NCBITAXON:138278,Aspergillus ochraceoroseus,138278,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,soil saprotroph; rare aflatoxin/sterigmatocystin-producing Aspergillus outside section Flavi,M4-FUNG-0009
NCBITAXON:48100,Alternaria solani,48100,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,plant-pathogenic necrotroph,M4-FUNG-0010
NCBITAXON:227321,Aspergillus nidulans,227321,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus; major genetic/model-organism background,M4-FUNG-0011
NCBITAXON:89488,Monascus pilosus,89488,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,saprotrophic filamentous fungus; commonly exploited for fermented-food pigment production,M4-FUNG-0013
NCBITAXON:1279085,Fusarium fujikuroi,1279085,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,plant-pathogenic and saprotrophic filamentous fungus,M4-FUNG-0014
NCBITAXON:5077,Penicillium citrinum,5077,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,saprotrophic filamentous fungus,M4-FUNG-0016
NCBITAXON:33178,Aspergillus terreus,33178,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic/rhizosphere-associated filamentous fungus,M4-FUNG-0017
NCBITAXON:622360,Alternaria brassicicola,622360,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,necrotrophic plant pathogen and saprotroph,M4-FUNG-0018
NCBITAXON:675120,Dothistroma septosporum,675120,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Dothistroma,hemibiotrophic foliar pathogen with epiphytic/biotrophic-to-necrotrophic disease progression,M4-FUNG-0019
NCBITAXON:334819,Fusarium verticillioides,334819,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,maize-associated plant pathogen/endophyte and saprotroph,M4-FUNG-0021
NCBITAXON:5507,Fusarium oxysporum,5507,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,plant-associated/soil-associated Fusarium oxysporum species-complex fungus,M4-FUNG-0022
NCBITAXON:117187,Fusarium verticillioides,117187,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,maize-associated plant pathogen/endophyte and saprotroph,M4-FUNG-0023
NCBITAXON:36650,Penicillium aethiopicum,36650,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,saprotrophic filamentous fungus,M4-FUNG-0024
NCBITAXON:193393,Hypomyces subiculosus,193393,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,fungicolous/parasitic ascomycete at genus/species level,M4-FUNG-0025
NCBITAXON:285217,Aspergillus terreus,285217,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,soil-associated saprotrophic filamentous fungus; A. terreus can also be opportunistic,M4-FUNG-0027
NCBITAXON:1077442,Talaromyces marneffei,1077442,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,environmental saprotroph/pathogen with temperature-dependent mold–yeast dimorphism,M4-FUNG-0030
NCBITAXON:5074,Penicillium brevicompactum,5074,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,saprotrophic filamentous fungus commonly associated with stored foods and indoor substrates,M4-FUNG-0032
NCBITAXON:27334,Penicillium expansum,27334,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,necrotrophic/saprotrophic fruit-associated fungus,M4-FUNG-0034
NCBITAXON:1229662,Pestalotiopsis fici,1229662,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,endophytic/fungicolous-saprotrophic capacity; W106-1 is a tea endophyte,M4-FUNG-0035
NCBITAXON:330879,Aspergillus fumigatus,330879,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus with polymicrobial-biofilm and host-interaction contexts,M4-FUNG-0036
NCBITAXON:280754,Pochonia chlamydosporia,280754,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,soil/root-associated nematophagous fungus and biological-control agent,M4-FUNG-0037
NCBITAXON:162425,Aspergillus nidulans,162425,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus,M4-FUNG-0039
NCBITAXON:441959,Talaromyces stipitatus,441959,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,saprotrophic filamentous fungus,M4-FUNG-0040
NCBITAXON:665024,Bipolaris maydis,665024,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,necrotrophic maize pathogen; Race T carries host-genotype-specific supervirulence,M4-FUNG-0041
NCBITAXON:380704,Aspergillus niger,380704,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus with broad environmental and industrial occurrence,M4-FUNG-0042
NCBITAXON:341663,Aspergillus terreus,341663,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus with opportunistic pathogenic potential,M4-FUNG-0043
NCBITAXON:331117,Aspergillus fischeri NRRL 181,331117,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus,M4-FUNG-0048
NCBITAXON:298378,Fusarium incarnatum,298378,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,plant-associated/saprotrophic-pathogenic Fusarium complex,M4-FUNG-0049
NCBITAXON:5580,Aureobasidium pullulans,5580,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,ubiquitous epiphytic/saprotrophic yeast-like fungus,M4-FUNG-0050
NCBITAXON:176275,Beauveria bassiana,176275,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,facultative entomopathogen,M4-FUNG-0051
NCBITAXON:857340,Hapsidospora chrysogena ATCC 11550,857340,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Hapsidospora,saprotrophic filamentous fungus; industrial fermentation organism,M4-FUNG-0053
NCBITAXON:1934374,Achaetomiella virescens,1934374,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomiella,saprotrophic filamentous ascomycete,M4-FUNG-0055
NCBITAXON:29910,Tolypocladium inflatum NRRL 8044,29910,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,saprotrophic and entomopathogen-associated ecology,M4-FUNG-0056
NCBITAXON:655844,Metarhizium robertsii ARSEF 23,655844,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,insect pathogen / soil-associated fungus,M4-FUNG-0057
ORG_d1a8dbb0ed6b,Aspergillus pachycristatus NRRL 11440,UNCERTAIN,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic filamentous fungus,M4-FUNG-0058
NCBITAXON:61235,Fusarium equiseti,61235,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,plant-associated Fusarium complex; record-specific ecological role NR,M4-FUNG-0059
NCBITAXON:73839,Epichloe festucae var. lolii,73839,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Epichloe,mutualistic/endophytic grass symbiont,M4-FUNG-0060
NCBITAXON:500485,Penicillium rubens Wisconsin 54-1255,500485,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,saprotrophic filamentous fungus,M4-FUNG-0062
NCBITAXON:5017,Bipolaris zeicola,5017,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,necrotrophic plant pathogen,M4-FUNG-0064
NCBITAXON:5076,Penicillium chrysogenum,5076,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,saprotrophic filamentous fungus / industrial production organism,M4-FUNG-0066
NCBITAXON:1756136,Lecanicillium sp. HF627,1756136,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,NR,M4-FUNG-0070
NCBITAXON:332952,Aspergillus flavus NRRL3357,332952,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,saprotrophic/plant-associated fungus,M4-FUNG-0071
NCBITAXON:332648,Botrytis cinerea B05.10,332648,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,necrotrophic phytopathogen,M4-FUNG-0073
