strain_key,organism_key,strain_label_raw,dossier_id_first_seen,role_first_seen
STR_0300b4073198,NCBITAXON:5599,NAF8,M4-FUNG-0001,primary
STR_1f13d74e5d62,NCBITAXON:5599,YM-19,M4-FUNG-0001,experiment
STR_04954f5c5fc5,NCBITAXON:5062,RIB40,M4-FUNG-0002,primary
STR_2a36239590e1,NCBITAXON:5062,A. oryzae RIB40 + nine group-1 RIB strains,M4-FUNG-0002,experiment
STR_f3f771dbeaac,NCBITAXON:5062,210 A. oryzae RIB strains,M4-FUNG-0002,experiment
STR_be1437168091,NCBITAXON:5062,A. oryzae RIB67 recipient; RIB40 and A. flavus regulator alleles,M4-FUNG-0002,experiment
STR_4e253b51e9ad,NCBITAXON:5062,RIB40-type A. flavus clinical isolates,M4-FUNG-0002,experiment
STR_54c7c8abbe21,NCBITAXON:5062,A. oryzae RIB62 and group-2 strains,M4-FUNG-0002,experiment
STR_922f99f32451,NCBITAXON:5067,SU-1 / SRRC 143 / ATCC 56775 / NRRL 5862,M4-FUNG-0003,primary
STR_c8ccd7a4803f,NCBITAXON:5067,A. parasiticus pksA-disruption background,M4-FUNG-0003,experiment
STR_00925fe1e0bf,NCBITAXON:5067,"SU1-N3 (pHSP), derivative of SU-1",M4-FUNG-0003,experiment
STR_46777a22f41e,NCBITAXON:5067,A. parasiticus OMST-accumulating aflR-disruption strain,M4-FUNG-0003,experiment
STR_1a61b6d61788,NCBITAXON:5067,A. parasiticus NR-1 / reporter transformants,M4-FUNG-0003,experiment
STR_53f3000f7b3c,NCBITAXON:5067,A. parasiticus BN009E cypA-disruption transformants,M4-FUNG-0003,experiment
STR_a62265bdcfc7,NCBITAXON:5067,ATCC 56775 / SU-1 strain background,M4-FUNG-0003,experiment
STR_a1f296aa7838,NCBITAXON:5059,"AF13 / SRRC 1273; historical literature also labels AF13 as ATCC 96044, while the current ATCC 96044 catalog identifies an AF13 niaD− derivative",M4-FUNG-0004,primary
STR_a0dee8d62a32,NCBITAXON:5059,AF13 / ATCC 96044,M4-FUNG-0004,experiment
STR_1d949971fc31,NCBITAXON:5059,AF13 and AF70; A. parasiticus comparators,M4-FUNG-0004,experiment
STR_0b3b1fa7ccd2,NCBITAXON:5059,AF13,M4-FUNG-0004,experiment
STR_b0d05d31bed8,NCBITAXON:5059,AF13 versus NRRL3357,M4-FUNG-0004,experiment
STR_25f9add09d5b,NCBITAXON:5059,"AF13 ΔatfC-1, ΔatfC-2, WT and empty-vector controls",M4-FUNG-0004,experiment
STR_8d9fbce9a723,NCBITAXON:5059,"AF13 ΔatfC mutants, WT and NRRL3357",M4-FUNG-0004,experiment
