dossier_id,source_id,source_type_raw,year_raw,title_or_database_raw,doi_or_accession_raw,pmid_raw,url_raw
M4-FUNG-0001,S001,database,2019,MIBiG BGC0000003,BGC0000003,,https://mibig.secondarymetabolites.org/repository/BGC0000003/
M4-FUNG-0001,S002,primary research,2005,Structural analysis of cosmid clone pcAFT-2 carrying AFT10-1 encoding an acyl-CoA dehydrogenase involved in AF-toxin production in the strawberry pathotype of Alternaria alternata,10.1007/s10327-004-0170-3,NF,https://doi.org/10.1007/s10327-004-0170-3
M4-FUNG-0001,S003,primary research,2002,A conditionally dispensable chromosome controls host-specific pathogenicity in the fungal plant pathogen Alternaria alternata,10.1093/genetics/161.1.59,12019223,https://pubmed.ncbi.nlm.nih.gov/12019223/
M4-FUNG-0001,S004,primary research,1990,Determination of Host-Selective Toxin Production During Spore Germination of Alternaria alternata by High-Performance Liquid Chromatography,10.1094/Phyto-80-1088,NF,https://www.apsnet.org/publications/phytopathology/backissues/Documents/1990Articles/Phyto80n10_1088.PDF
M4-FUNG-0001,S005,taxonomy database,2026,NCBI Taxonomy: Alternaria alternata,TaxID 5599,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=5599
M4-FUNG-0002,S001,database,2024,MIBiG BGC0000004 v3,BGC0000004,,https://mibig.secondarymetabolites.org/repository/BGC0000004.3/index.html
M4-FUNG-0002,S002,primary research,2006,Molecular Analysis of an Inactive Aflatoxin Biosynthesis Gene Cluster in Aspergillus oryzae RIB Strains,10.1128/AEM.72.1.484-490.2006,16391082,https://doi.org/10.1128/AEM.72.1.484-490.2006
M4-FUNG-0002,S003,primary research,2011,Aflatoxin non-productivity of Aspergillus oryzae caused by loss of function in the aflJ gene product,10.1016/j.jbiosc.2010.12.022,21342785,https://doi.org/10.1016/j.jbiosc.2010.12.022
M4-FUNG-0002,S004,primary research,2019,Comparative genome analysis of Aspergillus flavus clinically isolated in Japan,10.1093/dnares/dsy041,30520983,https://doi.org/10.1093/dnares/dsy041
M4-FUNG-0002,S005,primary research,2006,Aspergillus oryzae strains with a large deletion of the aflatoxin biosynthetic homologous gene cluster differentiated by chromosomal breakage,10.1007/s00253-005-0282-5,16673111,https://doi.org/10.1007/s00253-005-0282-5
M4-FUNG-0002,S006,database,current,NCBI accession/taxonomy,AB196490.1; TaxID 5062; RIB40 TaxID 510516,,https://www.ncbi.nlm.nih.gov/nuccore/AB196490.1
M4-FUNG-0002,S007,primary research,1965,The Structures of Aflatoxins B and G1,10.1021/ja01082a031,14284616,https://doi.org/10.1021/ja01082a031
M4-FUNG-0002,S008,institutional genome database,current,CAoGDX / National Research Institute of Brewing: A. oryzae RIB40 aflatoxin-cluster loci,RIB40_02006775 (aflR),,https://nribf21.nrib.go.jp/CAoGDX/gen.cgi?ctgen_ctgmap=kog2&gen=RIB40_02006775&gnm=Aoryzae_RIB40&ntgen_ctgmap=locus_tag&prj=01949
M4-FUNG-0003,S001,database,current,MIBiG repository entry BGC0000005.3,BGC0000005.3,,https://mibig.secondarymetabolites.org/repository
M4-FUNG-0003,S002,sequence database,2004,"AY371490.1 — Aspergillus parasiticus aflatoxin pathway gene cluster, complete sequence",AY371490.1,,https://getentry.ddbj.nig.ac.jp/getentry/na/AY371490
M4-FUNG-0003,S003,primary research,2004,Completed sequence of aflatoxin pathway gene cluster in Aspergillus parasiticus,10.1016/S0014-5793(04)00327-8,15094053,https://doi.org/10.1016/S0014-5793(04)00327-8
M4-FUNG-0003,S004,review/minireview,2004,Clustered pathway genes in aflatoxin biosynthesis,10.1128/AEM.70.3.1253-1262.2004,15006741,https://doi.org/10.1128/AEM.70.3.1253-1262.2004
