dossier_id,mibig_accession,organism_name,primary_product_raw,mibig_bgc_class_raw,primary_reference_year,primary_reference_doi,genes,metabolites,experiments,claims,conflicts
M4-FUNG-0001,BGC0000003,Alternaria alternata,AF-toxin,PKS (Unknown),2005.0,10.1007/s10327-004-0170-3,6,3,2,4,3
M4-FUNG-0002,BGC0000004,Aspergillus oryzae,aflatoxin G1 (MIBiG annotation; not demonstrated as a native RIB40 product),PKS (Unknown),2006.0,10.1128/AEM.72.1.484-490.2006,23,1,5,5,4
M4-FUNG-0003,BGC0000005,Aspergillus parasiticus,"aflatoxins B1, B2, G1 and G2",PKS,2004.0,10.1016/S0014-5793(04)00327-8,29,4,7,8,5
M4-FUNG-0004,BGC0000006,Aspergillus flavus,aflatoxin B1 and aflatoxin B2,PKS (Unknown),2004.0,10.1128/AEM.70.11.6518-6524.2004,23,2,8,6,6
M4-FUNG-0005,BGC0000007,Aspergillus aflatoxiformans,aflatoxin B1 and aflatoxin G1,PKS (Unknown),2002.0,10.1007/s00253-002-1094-5,25,2,6,7,4
M4-FUNG-0006,BGC0000008,Aspergillus flavus,aflatoxin B1 and aflatoxin B2,PKS (Unknown),2004.0,10.1128/AEM.70.11.6518-6524.2004,23,2,7,7,5
M4-FUNG-0007,BGC0000009,Aspergillus nomiae (MIBiG historical label: Aspergillus nomius),aflatoxin B1 and aflatoxin G1 (MIBiG-linked); NRRL 13137 is also a known B2/G2 producer,PKS (Unknown),2004.0,10.1128/AEM.70.11.6518-6524.2004,25,4,7,7,5
M4-FUNG-0008,BGC0000010,Aspergillus flavus,no native aflatoxin product; MIBiG generically associates the locus with 'aflatoxin',PKS (Unknown),2004.0,10.1007/s00253-004-1670-y,23,1,5,6,5
M4-FUNG-0009,BGC0000011,Aspergillus ochraceoroseus,sterigmatocystin; aflatoxin B1; aflatoxin B2,PKS (Unknown),2009.0,10.3852/08-173,27,3,6,6,5
M4-FUNG-0010,BGC0000012,Alternaria solani,alternapyrone — directly demonstrated as Alt5/PKSN product in heterologous A. oryzae; not established as the native final product of the complete A. solani five-gene cluster,PKS (Unknown),2005.0,10.1016/j.chembiol.2005.09.015,5,2,6,7,5
M4-FUNG-0011,BGC0000013,Aspergillus nidulans,alternariol,PKS (Unknown),2012.0,10.1021/ja3016395,2,4,6,7,6
M4-FUNG-0012,BGC0000022,Aspergillus nidulans,asperfuranone,PKS (Unknown),2009.0,10.1021/ja8088185,11,2,7,8,6
M4-FUNG-0013,BGC0000027,Monascus pilosus,ankaflavin; monascin; rubropunctatin; monascorubrin,PKS (Iterative type I),2013.0,10.1007/s00253-013-4745-9,24,5,6,7,5
M4-FUNG-0014,BGC0000030,Fusarium fujikuroi,bikaverin,PKS (Unknown),2009.0,10.1111/j.1365-2958.2009.06695.x,7,4,9,9,6
M4-FUNG-0015,BGC0000037,Aspergillus nidulans,cichorine,PKS (Unknown),2012.0,10.1039/C2MD20055D,8,8,7,9,6
M4-FUNG-0016,BGC0000039,Penicillium citrinum,compactin (ML-236B; mevastatin),PKS (Unknown),2002.0,10.1007/s00438-002-0697-y,9,2,4,4,3
M4-FUNG-0017,BGC0000045,Aspergillus terreus,"10,11-dehydrocurvularin",PKS (Unknown),2013.0,10.1128/AEM.03334-12,8,3,6,8,6
M4-FUNG-0018,BGC0000046,Alternaria brassicicola,depudecin,PKS (Iterative type I),2009.0,10.1094/MPMI-22-10-1258,6,3,9,9,7
M4-FUNG-0019,BGC0000048,Dothistroma septosporum,dothistromin,PKS (Unknown),2006.0,10.1007/s11046-006-0240-5,35,3,10,10,8
